#,Address,BLOBZ,Points,snapshot_org,golden_blobz,silver_blobz,galxe_leaderboard,blobz_x_fwx,300_bitcoin,questn,gull_network,3960_jk,600_somdej,1000_lqdx,100_op,last_change_to_mint,blobz_invasion,get_golder_blobz,fwx_trading
1,0x0d61f6f25E12d74B8eA7bC9A83526441be832F61,9999,44,0,2,36,2,2,0,0,0,0,0,0,0,0,0,1,1
2,0xDDcB91313B1744e366a088061739D138BCcA56bC,9544,42,6,2,19,2,1,1,5,1,0,0,0,0,1,2,1,1
2,0xa027d8d063237bAbFCcd82E0E9d4D97ff45b9321,9544,42,4,2,21,2,2,1,5,1,0,0,0,0,0,2,1,1
4,0xb0a8B427EE85f03bfa78D278CCe007Cd90B31AAb,7726,34,2,1,19,1,2,0,5,0,0,0,0,0,0,2,1,1
5,0xA200369d36d9a1040bDddDf7F83995220E87211C,6817,30,6,2,6,2,1,1,5,1,1,0,0,0,1,2,1,1
6,0x10495E143d79296d5222497b7245294dc9e2D596,6590,29,6,2,2,2,5,0,5,1,0,1,0,0,1,2,1,1
6,0x3a79262632AbD073bA445aefDAfF1a5488e20B70,6590,29,6,2,4,1,4,1,5,1,0,1,0,0,0,2,1,1
6,0x9168a80AF210c511e4BE5b32d7de75124D0a4996,6590,29,5,2,7,1,2,0,5,1,0,1,0,0,1,2,1,1
9,0x6B2b94B69F03f3B3A917778e610F41F1318A5bf0,6135,27,6,2,2,1,5,0,5,1,0,1,0,0,0,2,1,1
9,0x7B4D11a3E5eaD71AD66fD70eff0Be1a5DD09336B,6135,27,6,1,4,2,1,1,5,1,0,1,0,0,1,2,1,1
9,0x9D3714cCEFf1e57D9653158c877dEF1E74bd6f20,6135,27,3,2,2,5,2,1,5,1,0,0,0,1,1,2,1,1
9,0xdb6C66aca162d109304d59203E035F89708Bd5aa,6135,27,6,2,2,1,4,1,5,1,0,1,0,0,0,2,1,1
13,0x21BF63C0418D4f1D13f884C50498B2259B321b43,5908,26,6,2,2,2,2,1,5,1,0,1,0,0,0,2,1,1
13,0x7a0FB632f86a8C8236aC8960b3a9cada3e7E0B30,5908,26,6,2,2,2,1,1,5,1,0,1,0,0,1,2,1,1
13,0x86F1EdBBC7E2f67c85E0fD88cc71C35d03D820f8,5908,26,4,2,2,1,5,0,5,1,0,1,0,0,1,2,1,1
13,0xCd0A87c465F768CF17A59E8b85691810a368e68A,5908,26,6,2,2,2,1,0,5,1,0,1,0,1,1,2,1,1
13,0xb03c98Ce46Ceeb5489D017a17Ff1534cf155fD8d,5908,26,6,2,2,1,2,1,5,1,0,1,0,0,1,2,1,1
13,0xfe222BD8FcC0d6Cbec595d2eE000FC4C5f91b906,5908,26,6,2,2,5,1,0,5,0,0,1,0,0,0,2,1,1
19,0x29168cce1A88138e9cdD3aEb509F1DfC6E21a857,5681,25,6,2,2,2,1,1,5,1,0,0,0,0,1,2,1,1
