address,x_username,discord_username
0x59659e3270e7e143f8f1Bba1af3D237d8c9f9354,ancha72_,.zerocross#0
0x55842426EcF8Bc5Ae830550e9cc8936Ddccb253c,NIDAVELL1R,NIDAVELLiR
0xd1a5b91957530E1B3e9cfac1543467C60c352F69,elemonbee,itsbrucelee#0
0x86c16F44BC75851a9E2E16e28366aDD78169fEA9,kevin7306,AM | Kevin#1755
0xcd0b67a61E5e8F4616c19e421e929813B6D947df,arshiags,ArshiaGS#0011
0x42BC42766e797183E12112C835779a289Cd1A1FD,K199017017,k1#1851
0xa6D51779B45bDf1C5b6BD0Fe86Be2C2d9481e69d,MehdiNFM,Mehdi_Mahan
0x80092f94F8D3f9048624ed68F5a0DaBeAfB9FEDC,hatisaku839,hassaku#0
0x69394D9Fb0CF4edaB537804d8eb1639B07471ec4,AlirezaParand1,mehdisal#2589
0x4c710B38199f589DD769D36eD52b6d0170cb83EE,Darknighte5a,Darknighte5a
0xBF92620478dd964caC8e0d8D98BF3336727f4982,nigelchangmo,NigelC
0x2600A539B907CC897736C9059F6b2d4941aDf37B,mrgoodcat7740,Mr.GoodCat
0x79Bdda65C706CBdA69C0AD4C8da1d3e91724f48D,poupee999,Poupee#3497
0xD89d8C4247931dc0aE095Cd1A223420d68dA7247,ratavessnun,PhonG#9673
0x571C9B09aFe7248421563e7958459413B3af98fc,3au4uk174,3au4uK
0xACf1222153e2B795Cc35c57C32edD8B8Eae86279,yxyshw,owen
0x7fbc69c7A4e14A5b85973f4DCEC3572584726A3A,Owensi922,rain1014
0x6f5b35781bd45d15f4153C8a96a2Ca5172C0d2B4,sfh40542,sfh40542
0xEd55793bda1aeC0A3a98cc5f092e071E5785106C,dovahkiin2080,mahshams#2588
0xf1b622Da801ee602E3FfEE5262108Dd2b9149E88,startha2,starthaprose
0x38F0C7d7e92422B68f2d5b4a388c05Df6D531F52,mr_Amir68,crazzy#8724
0xfbF0736EB2ac1C4bB0193AE54c53e182B18037Fc,FatahianHamed,hamed1990#6283
0x96D3c33732aC2c7fB5C9120D9447ebD10e4a6158,OrnyL3,IamJoe
0x6D67d7C698206857689de8EC6621d60cd6A1D79d,sssklazz,esso
0xd6C3280E7b610b58EbD4C36Ca707D717c2683c3E,parhamfv,parhamuniqe#6964
0x0493b6988aDD9a904926937Abd80891c6F0D42ff,Mohammadpaliz3,mamadiii
0x905272e589418183A7177b0689eB9d0ffc7f7dcE,smamn27,smamn27#1750
0x253f422811770197ADFA948a925A93b93dB0526C,inwwaree,theoffer
0xa71C40350D5545bC45A7fF03E90fdF685C792E1D,omid79341153,sezar21#5240
0x91d708962D843011d580163894553d4fE7415890,masooooody,masooody#5859
0x55322A6A9ec077a20C9352a75274975e09Ce7f75,0xSheyda,0xsheyda#0
0x66070da7ab73f44Af54AFA8bCc5dC98eD5e4923a,airdropefa,saghsar
0x0949C8d6aa7aD809ea08216f327ecF8a3C6B6518,Behnaming_,behnaming#0
0x0Be9cD8A94A328831B60a5245A154Ab23130E516,polaris57446082,hamid
0x694cf723954203C4644f273277538af3dd947489,sebakhzar,sebakhzar0#1765
0xC0809985d41C6f8D577A5200c096f9adF80C1455,ASD_keyhan,vtalik.bnb#6646
0x0677258f279146E2518bF7Cb53A31c6bEadD5eFe,akbr28609613,akbr
0xd2578c95C2DAF87E7542D4c305C95cef01295877,MJahangirifard,beni1398#2768
0x47706c58602B33f876C2495835B65dC8cE603938,mohsob8688,mohsob#4700
0x994F96722575B64b27CDBe327498F34Aaa2f0043,SSmehrrad,Rad#8562
0x389014bA96E054C86a22B94B03ce66584841c9e0,misol302126,moro#2295
0x3f602e2eBF0A3a1d6232603CFB18C32Fdcf848E1,Varianwrynn74,Sina#3332
0x690ebb72EA7f5C37EFE9C325e430129D6674D5Ef,iTurkeyTrade1,iMeta#8811
0x6Ac5a8D0203b9Cc4752647f2aA4aA87C7f290774,Mheydari365,mheydari#8031
0x1120324D8266d73cca3cc71CcCbd44D919e06E6a,omidl4308,omid.4308#6375
0x5bcb86339f2B53CA52EdAdc4C692199a78f06E71,0xMRAX,mrax33#0893
0x2c4C743109043C422bBC97DEcaB32dDbf7AF2BcE,mehdipouresmae1,mehdimp#8031
0x372570802335134b5654b41Fa5eEF84548DB4d79,behnam29673165,behname20#9888
0x874B9A1c47cE5e839a3F0F9F1a3c3c1bDa170213,Cappado24,Tornado#2145
0xFA4B47D26a8Ec5B50c2d118c1d20058E7210512C,hamidk297,hamidk297#8109
0xa8B7D97570c34068efAc4Ec51DeDDD4C16602ae8,zagros1356,mousavi1356.bnb#1494
0x465c63680F2a0B4277d9b4CEcC3f3310e531A77f,JRojeres,jrojeres#0
0xA6864C6b3F418d26aC231b09488f5a6C821f7147,M0hammad_h78,mohammad.h#9467
0xe7f6e856C3219d4A7db412373F626898DdEF37ce,alibalali67,balali.a67#2959
0xE951D6Ed0f9d9F4898bae91960Ed640698fb233A,mEhDisal1985,mehdisalehi#0
0x2A5269de9a146ba3159E0229992aeEe2741EDaCA,narafighby,narafigh.by
0x0F8a2298Bb31e3399083b398f945fE1Bb1DEEbeb,asmakhazeni73,mehdius#0
0x364056980867D1655897299889BcA4E7D465b395,Jafarizadi1988,vendetta01
0x227179eD22661F446450Aa5EFe0a6Ac45A8bc2CB,airdr9p,gold#5564
0xbc912D3Aba35cCB2c6c7ac0D445B9f3E866ADb41,wallimo3,face of melinda#4395
0x159A753dB06231a013Ba8404F14bf71650CE0dBD,Defeho104,krit01#6124
0x6C75881D661f2d0d160011BDC967263C02D18357,MateMoney777,Mateman777#3385
0x0af3cA86aEdb50220c04Db37cE5A79B6d17EcA4d,hakan_trader,hakantrader#2029
