Wallet Address,Address Type,Point,Ranking
0x288a4e70eba5d4f92e28f8ccc561e9fc947304a1,EVM,1458,1
0x9d3714cceff1e57d9653158c877def1e74bd6f20,EVM,1230,2
0xfe222bd8fcc0d6cbec595d2ee000fc4c5f91b906,EVM,1175,3
0xe408d65d495c567ab246e7c90f11d15d96c1738d,EVM,880,4
0xbd680338b781ccbdaafdf25e902f54b4a4974600,EVM,805,5
0x99fdd2a67ba5ec9fb98f451f0e88d0fbec1ee121,EVM,765,6
0x84c9c7dc5091ad2cd6a196cd86581d3a71d551fa,EVM,755,7
0xb0c0f73f84ce7355e755846c123f0a5848304b52,EVM,690,8
0xd95adae0d0cf30254b41c696f78920dfcdd545b5,EVM,655,9
0x556a257f8ef54cc0ab7eabbfc74302047f528a6d,EVM,625,10
0xbf530634f854038ba3cf8ed3a0f9f1c5d78da3c1,EVM,615,11
0xefbee49244701f596e49fb649b46a8853f085020,EVM,615,11
0xc6f38ca3b9f12a7c9b17c6d8e832779adc4f548d,EVM,590,13
0xef4544d7ff3d20e60892a7fee1c906026f304053,EVM,585,14
0x4da04ca44ef0a105f159ec8d9595423c1834febe,EVM,545,15
0xddcb91313b1744e366a088061739d138bcca56bc,EVM,510,16
0x0d61f6f25e12d74b8ea7bc9a83526441be832f61,EVM,505,17
0x53a97f81031e72f5dd34339c1f2d87f16c9e331d,EVM,485,18
0xf132ea4610d4f278d611e1a177aca5280f89fb99,EVM,470,19
0x9ef96f0236466b766c57d3f593db6bb0b8cc4a16,EVM,460,20
0x95b040599eb3ab880a4291e38b0598cc33993de3,EVM,455,21
0x6ae1f1e7ac42808cd19377f6c8d1566899c7c017,EVM,450,22
0x7b4d11a3e5ead71ad66fd70eff0be1a5dd09336b,EVM,430,23
0xa88882c2833cd62a233c15add793db811b708075,EVM,430,23
0xea68ebcacbd1515a559ad26e6f934ffc71050872,EVM,425,25
0x7a0fb632f86a8c8236ac8960b3a9cada3e7e0b30,EVM,415,26
0xa200369d36d9a1040bddddf7f83995220e87211c,EVM,400,27
0xf4b40b20572d117ead7b5ca3c7eff7d3cbdc4067,EVM,390,28
0x0000007c28eae82765e597c082e4ad2dfc71725f,EVM,380,29
0xa027d8d063237babfccd82e0e9d4d97ff45b9321,EVM,375,30
0x29168cce1a88138e9cdd3aeb509f1dfc6e21a857,EVM,370,31
0x6af1c53a7c57269a7e0d35871147488f673cf419,EVM,355,32
0x3e52151b9f13c1f73c095be69f6cf4fa3eac14a2,EVM,355,32
0x9e4c48c7c7d758af0985fcc360ae6b7cda662e70,EVM,355,32
0x21bf63c0418d4f1d13f884c50498b2259b321b43,EVM,350,35
0x3876c8e935546999f30302dd5ba73a3d069ceb60,EVM,345,36
0x1d54ee6c2e15b168f35a578ca2bcf49f6a46c473,EVM,325,37
0xd553fe129584198f36dcf6e54cd3176af2d5be0b,EVM,325,37
0x10495e143d79296d5222497b7245294dc9e2d596,EVM,320,39
0xcf8373446363216f0dac6ace39cd3db12cf8689b,EVM,310,40
0xe40bbd3cd595b1b834719c3e113ea64bbac20052,EVM,310,40
0x1c670dc214de4819730e7305703ec8c986b8c7fc,EVM,305,42
0xcd0a87c465f768cf17a59e8b85691810a368e68a,EVM,305,42
0xf4bd058b86946dff0a6ef2a2977ee4c40efe8756,EVM,305,42
0xc4da6319585ff59912013338108ca895e48ac733,EVM,300,45
0x3f9d4869d78d34bb5102a8743d236dc8be5703ea,EVM,295,46
0xf845a40a01763ba1b83462beecee331bc4653ed1,EVM,290,47
0x80092f94f8d3f9048624ed68f5a0dabeafb9fedc,EVM,290,47
0x9168a80af210c511e4be5b32d7de75124d0a4996,EVM,290,47
0x3bae0f9811fb3869267caff8b5a1baf00a352935,EVM,290,47
0xbf9019f39b478938df968d331c282b06f7b436ba,EVM,290,47
0x4450db99260ec3140b4690f1c6bdd64d5d9644a9,EVM,285,52
0xe3d871d389bf78c091e29dece83200e9d6b2b0c2,EVM,285,52
0xd07c2579a777ab27aa401b5a6adbaa18266533d3,EVM,280,54
0x7415a096ec3d3fc08bcdffa632dcbadb840a2286,EVM,280,54
0xfac219be81d0236e4167163111298934b53a6d95,EVM,275,56
0xe38d5840a51f7da315b085bacf144969a8006e72,EVM,275,56
0x4c10a221868626dc38bf415fc8941d61c78a5eb2,EVM,270,58
0x17a7aaa564511583e67c0a85df4362745b2984bc,EVM,270,58
0xed641737351a56b75c6c7da7f5acb2eabf11bd36,EVM,270,58
0x8c58c739cc456091c0d1cee900988059b32f4b19,EVM,270,58
0x20313bf6f3071fae1f44e23f1aed6950030bd1db,EVM,270,58
0x4215a881dfa38fa2faced28778c9366ef3e5fbb6,EVM,270,58
0x2c9e70dfeb48aa32b9ad7da92e79db921819dfc5,EVM,270,58
0xde28390fd2f40252fd4dc3869315684b9b0d3f9f,EVM,265,65
0x6858a4d8d7d0297c138b403b6a34cb3b424b7f4a,EVM,265,65
0x12924049e2d21664e35387c69429c98e9891a820,EVM,265,65
0x2799aaa2c28425b6554914c459da470c5198bc4f,EVM,265,65
0x32c858aa36bf7a435e780ea7240abc7f647df930,EVM,260,69
0xa2c0905a8a1e66cc1633d2031ee21b18d4a42fa6,EVM,260,69
0x97538e1a3821f3327fe2a2ff4993f3d154f28b01,EVM,260,69
0x279e03847ca943e6504f284f06b2c4b979ce0198,EVM,255,72
0xb0a8b427ee85f03bfa78d278cce007cd90b31aab,EVM,255,72
0xdbfeaf48cbad9b9b9aa3d46642c8cc65bbe73e88,EVM,255,72
0x9830d6b37fe7488707cc4ad7f8b481d75eb2a8c2,EVM,255,72
0x97f156cd2542629d7ce897d7a8d4966233b1acc5,EVM,255,72
0xb9dac5c3965e5c582fadde3b383622747b22e1ae,EVM,255,72
0x00afe19b88a3f1e4187ba3b87cc117346a019a7e,EVM,250,78
0x59139d70ff6908b25c90f07b924ca80c51c43b2d,EVM,250,78
0x0eaea94b84ef62fa7e30624041051537561ea470,EVM,250,78
0xf66d4094d0c66fc43494b453008f6853b4a45c89,EVM,250,78
0xf4cc8a6a89cefdbdb515eab3ac7d76c7f32bd61b,EVM,250,78
0x642a2decc241887927b3be5a3a4f857f0b877ccf,EVM,245,83
0x41477a57a8916237a8ff512ba3d9bf487d9cbb79,EVM,245,83
0x56897fc85db3fde157a1ea8f9d3aae99913343eb,EVM,245,83
0x7ec9932e7de1ca2dc93a4edf382ddf2e5d50a1e3,EVM,245,83
0xfed1b842a85b9f8402f716b24c2fb28a5ba42ebc,EVM,245,83
0xb3566586517495b68f150bbb87136c875598a02a,EVM,245,83
0x1604efa11c5b7392bfd161f6194eb7d636e01c31,EVM,245,83
0x572669ea66380e5ef0df6d0f768791d0f0b014a7,EVM,240,90
0xb03c98ce46ceeb5489d017a17ff1534cf155fd8d,EVM,240,90
0xd002e731b302286009abaafd5e05a9853f5f3002,EVM,240,90
0xd779a7edecdd3841c48933baefe6a29ca52dfa3c,EVM,240,90
0x86f1edbbc7e2f67c85e0fd88cc71c35d03d820f8,EVM,240,90
0x4dd7afa9c43ea792e5da4c341054c6435c71c12e,EVM,235,95
0xfdd867cc29822f89194f0f9c089f9903183d5423,EVM,235,95
0x157e14aeaa74da672e1c6c36d4d86dc29cc436cd,EVM,235,95
0x99b17456ed9c3eb3e2f4f292bcb515f8bb9f4640,EVM,230,98
0xed9bbf4711eb9b8ee73f2b17af40606069def6e2,EVM,230,98
0x2b5a0be5940b63de1eddccca7bd977357e2488ed,EVM,230,98
